Sector Code,Sector Name,Terrain Type,Is Landing Sector,Is City,Is Flooded,Starting Controller,Current Controller,Allied Supply Source,Axis Supply Source,Adjacent Sectors,Last Changed Date,Last Changed Game ID
B7,Sector B7,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A6,A7,B6,C7",,,
C1,Sector C1,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"B1,Omaha,C2,D1",,,
C2,Sector C2,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"B2,Omaha,Gold,C1,C3,D2",,,
C3,Sector C3,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"B3,C2,C4,D3",,,
C4,Sector C4,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"B4,C3,C5,D4",,,
C5,Sector C5,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"B5,C4,C6,D5",,,
C6,Sector C6,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"B6,C5,C7,D6",,,
C7,Sector C7,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,TRUE,"B7,C6,D7",,,
D1,Sector D1,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"C1,Gold,D2,E1",,,
D2,Sector D2,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"C2,Gold,Juno,D1,D3,E2",,,
D3,Sector D3,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"C3,D2,D4,E3",,,
D4,Sector D4,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"C4,D3,D5,E4",,,
D5,Sector D5,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"C5,D4,D6,E5",,,
D6,Sector D6,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"C6,D5,D7,E6",,,
D7,Sector D7,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"C7,D6,D8,E7",,,
D8,Sector D8,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,TRUE,"D7,E8",,,
E1,Sector E1,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D1,Juno,E2,F1",,,
E2,Sector E2,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D2,Juno,Sword,E1,E3,F2",,,
E3,Sector E3,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D3,E2,E4,F3",,,
E4,Sector E4,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D4,E3,E5,F4",,,
E5,Sector E5,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D5,E4,E6,F5",,,
E6,Sector E6,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D6,E5,E7,F6",,,
E7,Sector E7,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D7,E6,E8,F7",,,
E8,Sector E8,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"D8,E7,E9,F8",,,
E9,Sector E9,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,TRUE,"E8,F9",,,
F1,Sector F1,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E1,Sword,F2",,,
F2,Sector F2,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E2,Sword,F1,F3",,,
F3,Sector F3,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E3,F2,F4",,,
F4,Sector F4,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E4,F3,F5",,,
F5,Sector F5,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E5,F4,F6",,,
F6,Sector F6,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E6,F5,F7",,,
F7,Sector F7,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E7,F6,F8",,,
F8,Sector F8,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E8,F7,F9",,,
F9,Sector F9,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"E9,F8",,,
Caen,Caen,City,FALSE,TRUE,FALSE,Axis,Axis,FALSE,FALSE,"E2,E3,F2,F3",,,
Carentan,Carentan,City,FALSE,TRUE,FALSE,Axis,Axis,FALSE,FALSE,"B2,B3,C2,C3",,,
Bayeux,Bayeux,City,FALSE,TRUE,FALSE,Axis,Axis,FALSE,FALSE,"C2,C3,D2,D3",,,
Isigny,Isigny,City,FALSE,TRUE,FALSE,Axis,Axis,FALSE,FALSE,"B3,B4,C3,C4",,,
St-Lo,St-Lo,City,FALSE,TRUE,FALSE,Axis,Axis,FALSE,FALSE,"C4,C5,D4,D5",,,
Coutances,Coutances,City,FALSE,TRUE,FALSE,Axis,Axis,FALSE,FALSE,"B5,B6,C5,C6",,,
Villers-Bocage,Villers-Bocage,City,FALSE,TRUE,FALSE,Axis,Axis,FALSE,FALSE,"D4,D5,E4,E5",,,
